term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
trace (Befehl),Tcl-Konzepte / Tcl Concepts,"Tcl ensemble command for monitoring variable, command, and execution events. Three subcommand families: `trace add variable name ops cmd` (callback on read/write/unset), `trace add command name ops cmd` (callback on rename/delete), `trace add execution name ops cmd` (callback when a command runs — enter/leave/enterstep/leavestep). Companion subcommands: `trace remove ...`, `trace info ...`. Used for: debugging (log every change to a variable), reactive programming (recompute derived values on change), data binding (sync widget to variable). The mechanism behind Tk's `-textvariable`.","Tcl-Ensemble-Befehl zum Beobachten von Variablen-, Befehls- und Ausfuehrungs-Ereignissen. Drei Unterbefehl-Familien: `trace add variable name ops cmd` (Callback bei read/write/unset), `trace add command name ops cmd` (Callback bei rename/delete), `trace add execution name ops cmd` (Callback wenn ein Befehl laeuft — enter/leave/enterstep/leavestep). Begleitende Unterbefehle: `trace remove ...`, `trace info ...`. Verwendet fuer: Debugging (jede Aenderung einer Variable loggen), reaktive Programmierung (abgeleitete Werte bei Aenderung neu berechnen), Data-Binding (Widget mit Variable synchronisieren). Der Mechanismus hinter Tks `-textvariable`.",,,,
unload,Tcl-Konzepte / Tcl Concepts,"Tcl command that unloads a previously `load`ed extension. Calls the extension's `Packagename_Unload` function (which must clean up registered commands and freed allocated memory) and removes the shared library from the interpreter. Less commonly used than `load`: most extensions don't bother implementing a clean `Unload` function, so unloading them can leak resources or leave the interpreter in an inconsistent state. Useful in long-running embedders that want to swap implementations at runtime.","Tcl-Befehl, der eine zuvor mit `load` geladene Erweiterung entlaedt. Ruft die `Paketname_Unload`-Funktion der Erweiterung auf (die registrierte Befehle aufraeumen und allokierten Speicher freigeben muss) und entfernt die Shared Library aus dem Interpreter. Weniger haeufig verwendet als `load`: viele Erweiterungen implementieren kein sauberes `Unload`, sodass das Entladen Ressourcen leaken oder den Interpreter in inkonsistentem Zustand hinterlassen kann. Nuetzlich in lang-laufenden Embeddern, die Implementierungen zur Laufzeit wechseln wollen.",,,,
Action Pattern,Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,"Architectural pattern for GUI applications: every user interaction is represented as a discrete ""action"" — a named, parameter-bundled command object that performs the work. Buttons, menu items, keyboard shortcuts, and toolbar entries all invoke the same action by name; the action itself encapsulates ""what happens"". Enables uniform enable/disable logic, consistent undo/redo (each action knows how to undo itself), and clean separation between UI bindings and behaviour. Standard in modern GUI toolkits (Qt's QAction, Swing's Action, Cocoa's first-responder chain).","Architektur-Pattern fuer GUI-Anwendungen: jede Benutzerinteraktion wird als diskrete ""Action"" repraesentiert — ein benanntes, parameter-gebuendeltes Befehlsobjekt, das die Arbeit verrichtet. Buttons, Menue-Eintraege, Tastenkuerzel und Toolbar-Eintraege rufen alle dieselbe Action via Name auf; die Action selbst kapselt das ""was passiert"". Erlaubt einheitliche Enable/Disable-Logik, konsistente Undo/Redo (jede Action weiss wie sie sich rueckgaengig macht) und klare Trennung zwischen UI-Bindings und Verhalten. Standard in modernen GUI-Toolkits (Qts QAction, Swings Action, Cocoas First-Responder-Chain).",,,,
Aspect-Ratio-Fit,Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,"Image-and-layout pattern for scaling content into a target area while keeping its aspect ratio. Two variants: **Contain (Fit)** — scale by `min(targetW/imgW, targetH/imgH)` so the entire image fits, with letterbox bars on the unused dimension; **Cover (Fill)** — scale by `max(targetW/imgW, targetH/imgH)` so the image fills the whole area, cropping the overflow. Letterbox = horizontal bars (top/bottom); Pillarbox = vertical bars (left/right). The same formulas appear in HTML/CSS (`object-fit: contain` vs `object-fit: cover`), in PowerPoint's ""Format Picture"", in Tk's `photo copy -shrink`, and in pdf4tcl's image sizing.","Bild- und Layout-Pattern zum Skalieren von Inhalt in einen Zielbereich unter Erhalt des Seitenverhaeltnisses. Zwei Varianten: **Contain (Fit)** — skalieren mit `min(targetW/imgW, targetH/imgH)`, sodass das ganze Bild reinpasst, mit Letterbox-Balken auf der unbenutzten Dimension; **Cover (Fill)** — skalieren mit `max(targetW/imgW, targetH/imgH)`, sodass das Bild den ganzen Bereich fuellt und der Ueberhang abgeschnitten wird. Letterbox = horizontale Balken (oben/unten); Pillarbox = vertikale Balken (links/rechts). Dieselben Formeln tauchen in HTML/CSS (`object-fit: contain` vs `object-fit: cover`), in PowerPoints ""Bild formatieren"", in Tks `photo copy -shrink` und in pdf4tcls Bildgroesse auf.",,,,
Command Pattern,Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,Pattern encapsulating commands as objects; natural in Tcl where procedures are first-class commands.,"Muster zur Kapselung von Befehlen als Objekte; natürlich in Tcl, wo Prozeduren First-Class-Befehle sind.",,,,
Debounce / Throttle,Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,"Two event-rate-limiting techniques. **Debounce**: defer running a callback until the event-stream pauses — typical for ""user finished typing in search field"": `after cancel $::debounceId; set ::debounceId [after 300 doSearch]`. The cancel-and-reset pattern ensures only the last keystroke triggers a search. **Throttle**: run a callback at most every N milliseconds even during a continuous event stream — typical for ""scroll position update"": a flag prevents re-entry until the timer fires. Debounce trades responsiveness for fewer calls; throttle gives steady update frequency. Both implemented with `after` in pure Tcl.","Zwei Techniken zur Begrenzung der Event-Rate. **Debounce**: einen Callback erst dann laufen lassen, wenn der Event-Strom pausiert — typisch fuer ""Nutzer hat Tippen im Suchfeld beendet"": `after cancel $::debounceId; set ::debounceId [after 300 doSearch]`. Das Cancel-und-Reset-Muster sorgt dafuer, dass nur der letzte Tastendruck eine Suche ausloest. **Throttle**: einen Callback hoechstens alle N Millisekunden laufen lassen, auch bei kontinuierlichem Event-Strom — typisch fuer ""Scroll-Position-Update"": ein Flag verhindert Wieder-Eintritt, bis der Timer feuert. Debounce tauscht Responsivitaet gegen weniger Aufrufe; Throttle liefert stetige Update-Frequenz. Beide in pure-Tcl mit `after` implementierbar.",,,,
Drag-and-Drop (Tk),Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,"Mechanism for transferring data by clicking-and-dragging from one widget to another. Tk has no built-in cross-application drag-and-drop; the `tkdnd` extension provides it on Unix/Windows/macOS, supporting standard MIME types (`text/uri-list`, `text/plain`, files). Intra-application DnD can be built manually with `bind <ButtonPress-1>`/`<B1-Motion>`/`<ButtonRelease-1>` plus an ""is over a valid drop target?"" check using `winfo containing` or `find` (Canvas). Two distinct concepts: drag source (where data comes from) and drop target (where it goes).","Mechanismus zur Daten-Uebertragung per Klicken-und-Ziehen von einem Widget zu einem anderen. Tk hat kein eingebautes anwendungsuebergreifendes Drag-and-Drop; die `tkdnd`-Erweiterung bietet es auf Unix/Windows/macOS und unterstuetzt Standard-MIME-Typen (`text/uri-list`, `text/plain`, Dateien). Intra-Anwendungs-DnD laesst sich manuell mit `bind <ButtonPress-1>`/`<B1-Motion>`/`<ButtonRelease-1>` plus einer ""ist ueber gueltigem Drop-Target?""-Pruefung via `winfo containing` oder `find` (Canvas) bauen. Zwei eigene Konzepte: Drag-Source (woher die Daten kommen) und Drop-Target (wohin sie gehen).",,,,
Factory Pattern,Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,Pattern creating objects/widgets with consistent initialization; commonly implemented with procedures returning widget pathnames or TclOO objects.,"Muster zum Erstellen von Objekten/Widgets mit konsistenter Initialisierung; häufig implementiert mit Prozeduren, die Widget-Pfadnamen oder TclOO-Objekte zurückgeben.",,,,
Lazy Initialization,Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,"Pattern of deferring expensive setup until the moment it's first needed, rather than at startup. Tcl/Tk idioms: a getter proc that builds-and-caches on first call (`if {![info exists ::cached]} { set ::cached [expensive] }; return $::cached`); a widget that creates its child widgets only when first shown; a database connection opened on first query. Trades start-up speed for first-use latency. Useful when most users won't trigger the expensive code path — e.g. a Preferences dialog that builds its complex layout only when the user opens it.","Pattern, teures Setup erst zu betreiben, wenn es zum ersten Mal gebraucht wird, statt beim Start. Tcl/Tk-Idiome: eine Getter-Proc, die beim ersten Aufruf baut und cached (`if {![info exists ::cached]} { set ::cached [expensive] }; return $::cached`); ein Widget, das seine Kind-Widgets erst beim ersten Anzeigen erzeugt; eine Datenbank-Verbindung beim ersten Query geoeffnet. Tauscht Startup-Geschwindigkeit gegen First-Use-Latenz. Nuetzlich wenn die meisten Nutzer den teuren Pfad nicht ausloesen — z.B. ein Preferences-Dialog, der sein komplexes Layout nur beim Oeffnen baut.",,,,
Observer Pattern,Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,Pattern implementing publish-subscribe mechanism; commonly using traces or TclOO filters/mixins for event notification.,Muster zur Implementierung von Publish-Subscribe-Mechanismus; häufig mit Traces oder TclOO-Filtern/Mixins für Ereignis-Benachrichtigung.,,,,
Private (Convention),Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,"Tcl naming convention for internal procedures/variables; typically prefixed with underscore (e.g., `_internal_proc`); not meant for external use; convention only, not enforced.","Tcl-Namenskonvention für interne Prozeduren/Variablen; typischerweise mit Unterstrich präfigiert (z.B. `_internal_proc`); nicht für externe Verwendung; nur Konvention, nicht erzwungen.",,,,
Public (Convention),Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,Tcl naming convention for public procedures/variables; typically no leading underscore; meant for external use.,Tcl-Namenskonvention für öffentliche Prozeduren/Variablen; typischerweise kein führender Unterstrich; für externe Verwendung gedacht.,,,,
Upvar Pattern,Tcl-Patterns und Konzepte / Tcl Patterns and Concepts,Common pattern using `upvar` to modify caller's variables from procedure; creates local reference to variable in different scope.,Häufiges Muster mit `upvar` zum Ändern von Aufrufer-Variablen aus Prozedur; erstellt lokale Referenz auf Variable in anderem Gültigkeitsbereich.,,,,
Backslash Substitution,Tcl-Sprachkonzepte / Tcl Language Concepts,"Replacing backslash sequences (\n, \t, \\, etc.) with special characters.","Ersetzen von Backslash-Sequenzen (\n, \t, \\, etc.) durch Sonderzeichen.",,,,
Bytecode,Tcl-Sprachkonzepte / Tcl Language Concepts,Compiled intermediate representation of Tcl scripts for faster execution.,Kompilierte Zwischendarstellung von Tcl-Skripten für schnellere Ausführung.,,,,
Canonical Form,Tcl-Sprachkonzepte / Tcl Language Concepts,Standardized representation of lists where each element is properly quoted and separated.,"Standardisierte Darstellung von Listen, bei der jedes Element korrekt in Anführungszeichen steht und getrennt ist.",,,,
Command Substitution,Tcl-Sprachkonzepte / Tcl Language Concepts,Replacing `[command]` with the result of executing the command.,Ersetzen von `[command]` durch das Ergebnis der Befehlsausführung.,,,,
Continuation Line,Tcl-Sprachkonzepte / Tcl Language Concepts,"Backslash at end of line allows command to continue on next line (e.g., `puts ""Hello \`).","Backslash am Zeilenende erlaubt Fortsetzung des Befehls auf nächster Zeile (z.B. `puts ""Hello \`).",,,,
Expansion,Tcl-Sprachkonzepte / Tcl Language Concepts,"{*} prefix that expands list into individual arguments (e.g., `cmd {*}$list`).","{*}-Präfix, das Liste in einzelne Argumente expandiert (z.B. `cmd {*}$list`).",,,,
Literal,Tcl-Sprachkonzepte / Tcl Language Concepts,Value taken exactly as written without substitution; achieved with braces {...}.,Wert genau wie geschrieben ohne Substitution; erreicht mit geschweiften Klammern {...}.,,,,
Quoting,Tcl-Sprachkonzepte / Tcl Language Concepts,Using double quotes to group words while allowing substitution of variables and commands.,Verwendung von doppelten Anführungszeichen zum Gruppieren von Wörtern unter Erlaubnis von Substitution von Variablen und Befehlen.,,,,
Shimmering,Tcl-Sprachkonzepte / Tcl Language Concepts,"Internal conversion of Tcl_Obj between different representations (string, list, int) for performance.","Interne Konvertierung von Tcl_Obj zwischen verschiedenen Darstellungen (String, Liste, Int) für Performance.",,,,
Tcl_Obj,Tcl-Sprachkonzepte / Tcl Language Concepts,Internal C data structure representing Tcl values with multiple type representations.,"Interne C-Datenstruktur, die Tcl-Werte mit mehreren Typ-Darstellungen repräsentiert.",,,,
Variable Substitution,Tcl-Sprachkonzepte / Tcl Language Concepts,Replacing `$varname` with the value stored in the variable.,Ersetzen von `$varname` durch den in der Variable gespeicherten Wert.,,,,
Word,Tcl-Sprachkonzepte / Tcl Language Concepts,Basic unit of Tcl syntax; words are separated by whitespace and can be grouped with quotes or braces.,Grundeinheit der Tcl-Syntax; Wörter werden durch Leerzeichen getrennt und können mit Anführungszeichen oder Klammern gruppiert werden.,,,,
HiDPI,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"High Dots-Per-Inch displays — screens with pixel densities above the historical 96 dpi norm (Retina, 4K). Tk 9 has improved HiDPI handling: automatic scaling of widgets and fonts based on system DPI settings, better font rendering at high resolutions, support for `tk scaling` to query/set the factor. Tk 8.6 needed manual scaling tweaks per platform; Tk 9 handles most cases automatically.","High-Dots-Per-Inch-Bildschirme — Bildschirme mit Pixel-Dichten ueber der historischen 96-dpi-Norm (Retina, 4K). Tk 9 hat verbessertes HiDPI-Handling: automatische Skalierung von Widgets und Schriften basierend auf System-DPI-Einstellungen, besseres Font-Rendering bei hohen Aufloesungen, Support fuer `tk scaling` zum Abfragen/Setzen des Faktors. Tk 8.6 brauchte manuelle Skalierungs-Tricks pro Plattform; Tk 9 erledigt die meisten Faelle automatisch.",,,,
SVG (Tk Image),Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Tk 9 supports SVG (Scalable Vector Graphics) as an image format — `image create photo myImg -file logo.svg` works natively. Internally uses NanoSVG (a small standalone SVG parser/rasterizer). Supports core SVG features: paths, basic shapes, transforms, gradients; not the full SVG spec (no animations, no scripting, limited filters). The first Tk version with built-in scalable graphics — a real change for cross-platform UI work where high-DPI displays expect vector assets.","Tk 9 unterstuetzt SVG (Scalable Vector Graphics) als Bildformat — `image create photo myImg -file logo.svg` funktioniert nativ. Verwendet intern NanoSVG (einen kleinen standalone SVG-Parser/-Rasterizer). Unterstuetzt Kern-SVG-Features: Pfade, einfache Formen, Transformationen, Gradienten; nicht die volle SVG-Spec (keine Animationen, kein Scripting, limitierte Filter). Die erste Tk-Version mit eingebauter skalierbarer Grafik — eine echte Aenderung fuer plattformuebergreifende UI-Arbeit, wo High-DPI-Displays Vektor-Assets erwarten.",,,,
Tcl_Size,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Tcl-9-standard type for size/length values in the C-API — replaces `int` in API signatures dealing with string lengths, list lengths, array sizes. Defined as `ptrdiff_t` (signed pointer-difference type), making it 64-bit on 64-bit platforms. Critical Tcl-9 migration: extensions written for Tcl 8.6 that use `int` for sizes in C-API calls need updates. Compile with `-DTCL_8_API` for compatibility-mode types or update to native `Tcl_Size` for cleanly 64-bit-clean Tcl-9 extensions.","Tcl-9-Standard-Typ fuer Groessen-/Laengen-Werte in der C-API — ersetzt `int` in API-Signaturen fuer String-Laengen, Listen-Laengen, Array-Groessen. Definiert als `ptrdiff_t` (signierter Pointer-Differenz-Typ), wodurch er auf 64-bit-Plattformen 64-bit ist. Kritische Tcl-9-Migration: Erweiterungen fuer Tcl 8.6, die `int` fuer Groessen in C-API-Aufrufen nutzen, brauchen Updates. Mit `-DTCL_8_API` fuer Kompatibilitaets-Modus-Typen kompilieren oder auf nativen `Tcl_Size` fuer sauber 64-bit-clean Tcl-9-Erweiterungen wechseln.",,,,
Tilde-Expansion,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Behaviour where a leading `~` in a file path is expanded to the user's home directory — e.g. `~/myfile` becomes `/home/user/myfile`. Removed from Tcl 9 (still works in 8.6). In Tcl 9, use `file home` explicitly: `file join [file home] myfile`. The removal is for security and consistency; tilde-expansion behaviour varied between platforms and could surprise. Migration step for any Tcl 8.6 code that used `~/path` in file operations.","Verhalten, bei dem ein fuehrendes `~` in einem Datei-Pfad zum Home-Verzeichnis des Nutzers expandiert wird — z.B. `~/myfile` wird zu `/home/user/myfile`. In Tcl 9 entfernt (funktioniert weiter in 8.6). In Tcl 9 explizit `file home` verwenden: `file join [file home] myfile`. Die Entfernung dient der Sicherheit und Konsistenz; Tilde-Expansion verhielt sich plattform-abhaengig und konnte ueberraschen. Migrations-Schritt fuer Tcl-8.6-Code mit `~/pfad`-Mustern.",,,,
const,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Tcl 9 command for defining constants — values that cannot be reassigned within their scope. `const PI 3.14159` makes `PI` read-only; subsequent `set PI ...` raises an error. Works at namespace level too: a constant defined in a namespace is shared and immutable. Solves the historic Tcl problem of accidentally mutating ""constants"" defined with `set`. Plain `set` still works for normal variables.","Tcl-9-Befehl zur Definition von Konstanten — Werten, die innerhalb ihres Scopes nicht neu zugewiesen werden koennen. `const PI 3.14159` macht `PI` schreibgeschuetzt; ein nachfolgendes `set PI ...` wirft einen Fehler. Funktioniert auch auf Namespace-Ebene: eine in einem Namespace definierte Konstante ist geteilt und unveraenderlich. Loest das historische Tcl-Problem versehentlichen Mutierens von ""Konstanten"" mit `set`. `set` bleibt fuer normale Variablen.",,,,
lseq,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Tcl 9 command that generates numeric sequences as lists — like Python's `range()`. Three forms: `lseq 10` (0..9), `lseq 1 10` (1..10), `lseq 1 10 2` (1, 3, 5, 7, 9). Supports floating-point: `lseq 0 1 0.1`. Also accepts a `count`-form syntax (`lseq 5 count 10` → 5,6,7,8,9,10,11,12,13,14). Replaces verbose `for {set i 0} {$i < 10} {incr i} {lappend ...}` patterns.","Tcl-9-Befehl, der numerische Sequenzen als Listen erzeugt — wie Pythons `range()`. Drei Formen: `lseq 10` (0..9), `lseq 1 10` (1..10), `lseq 1 10 2` (1, 3, 5, 7, 9). Unterstuetzt Floating-Point: `lseq 0 1 0.1`. Akzeptiert auch `count`-Syntax (`lseq 5 count 10` → 5,6,7,8,9,10,11,12,13,14). Ersetzt langatmige `for`-Schleifen mit `lappend`.",,,,
nsimage,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Tk 9 image type for native macOS system icons. `image create nsimage NSAlertCautionIcon` creates a Tk image referencing the OS-provided icon, which can then be used in buttons, labels, dialogs. Available icons include `NSAlertNoteIcon`, `NSStopProgressTemplate`, `NSAdvanced`, etc. macOS-only; on other platforms the call fails. Used in cross-platform code via a `tk windowingsystem` check.","Tk-9-Bildtyp fuer native macOS-System-Icons. `image create nsimage NSAlertCautionIcon` erzeugt ein Tk-Bild, das auf das OS-bereitgestellte Icon referenziert; nutzbar in Buttons, Labels, Dialogen. Verfuegbare Icons umfassen `NSAlertNoteIcon`, `NSStopProgressTemplate`, `NSAdvanced` u.a. macOS-only; auf anderen Plattformen schlaegt der Aufruf fehl. In plattformuebergreifendem Code via `tk windowingsystem`-Check verwendet.",,,,
process,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Tcl 9 command for subprocess introspection and management. Subcommands: `process list` (running subprocesses), `process status $pid` (state of a specific process), `process autopurge` (auto-collect zombies). Companion to `exec` which spawns processes — `process` lets you query and manage them after spawning. Available since Tcl 9.0.","Tcl-9-Befehl fuer Subprozess-Introspection und -Management. Unterbefehle: `process list` (laufende Subprozesse), `process status $pid` (Status eines konkreten Prozesses), `process autopurge` (automatisches Einsammeln von Zombies). Pendant zu `exec`, das Prozesse startet — `process` erlaubt sie danach abzufragen und zu verwalten. Verfuegbar seit Tcl 9.0.",,,,
tk print,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Tk 9 native printing command. Sends a Tk widget (typically a Text widget or Canvas) to the system print dialog: `tk print canvas .c` or `tk print text .t`. Platform-aware: uses GDI on Windows, CUPS on Linux, PrintCenter on macOS. Replaces the historic mess of widget-snapshot-to-PostScript-to-printer; first-class printing for Tcl/Tk 9.","Tk-9-Befehl fuer natives Drucken. Sendet ein Tk-Widget (typischerweise Text-Widget oder Canvas) an den System-Druckdialog: `tk print canvas .c` oder `tk print text .t`. Plattform-aware: nutzt GDI auf Windows, CUPS auf Linux, PrintCenter auf macOS. Ersetzt das historische Gewurschtel von Widget-Snapshot-zu-PostScript-zu-Drucker; erstklassiges Drucken fuer Tcl/Tk 9.",,,,
tk sysnotify,Tcl/Tk 9 - Neuerungen / Tcl/Tk 9 - New Features,"Tk 9 command for system desktop notifications. Sends OS-native notification messages: `tk sysnotify ""Title"" ""Body text""`. Uses Windows Toast on Windows, libnotify on Linux, NSUserNotification on macOS. Replaces external dependencies like `notify-send` that were the only option in Tk 8.6. Direct integration into the application's status reporting.","Tk-9-Befehl fuer System-Desktop-Benachrichtigungen. Sendet OS-native Notification-Nachrichten: `tk sysnotify ""Titel"" ""Body-Text""`. Nutzt Windows-Toast auf Windows, libnotify auf Linux, NSUserNotification auf macOS. Ersetzt externe Abhaengigkeiten wie `notify-send`, die in Tk 8.6 die einzige Option waren. Direkte Integration in das Status-Reporting der Anwendung.",,,,
mymethod,TclOO Introspection / TclOO-Introspektion,"Create callback bound to method of current object (e.g., `button -command [mymethod onClick]`).","Callback erstellen, gebunden an Methode des aktuellen Objekts (z.B. `button -command [mymethod onClick]`).",,,,
myvar,TclOO Introspection / TclOO-Introspektion,Return fully-qualified name of object variable for use in upvar/global.,Vollqualifizierten Namen der Objekt-Variable für Verwendung in upvar/global zurückgeben.,,,,
oo::copy,TclOO Introspection / TclOO-Introspektion,Create copy of object or class with new name.,Kopie von Objekt oder Klasse mit neuem Namen erstellen.,,,,
oo::define,TclOO Introspection / TclOO-Introspektion,"Modify class definition after creation (add methods, mixins, etc.).","Klassendefinition nach Erstellung ändern (Methoden, Mixins, etc. hinzufügen).",,,,
oo::objdefine,TclOO Introspection / TclOO-Introspektion,"Modify object instance after creation (add per-object methods, mixins).","Objekt-Instanz nach Erstellung ändern (objektspezifische Methoden, Mixins hinzufügen).",,,,
$map get,Tcllib struct Modules / Tcllib struct Module,Retrieve value for key from map.,Wert für Schlüssel aus Map abrufen.,,,,
$map keys,Tcllib struct Modules / Tcllib struct Module,Return list of all keys in map (in order).,Liste aller Schlüssel in Map zurückgeben (in Reihenfolge).,,,,
$map set,Tcllib struct Modules / Tcllib struct Module,Set key-value pair in map.,Schlüssel-Wert-Paar in Map setzen.,,,,
$map size,Tcllib struct Modules / Tcllib struct Module,Return number of key-value pairs in map.,Anzahl der Schlüssel-Wert-Paare in Map zurückgeben.,,,,
$map unset,Tcllib struct Modules / Tcllib struct Module,Remove key from map.,Schlüssel aus Map entfernen.,,,,
struct::dict,Tcllib struct Modules / Tcllib struct Module,"Tcllib struct module providing dict utilities beyond core Tcl. Common procs: ::struct::dict equal, contains, intersect, difference, project, fold. Treat dictionaries as math sets/relations. Useful when comparing config snapshots or transforming data tables.","Tcllib-struct-Modul mit Dict-Hilfsfunktionen ueber Core-Tcl hinaus. Wichtige Procs: ::struct::dict equal, contains, intersect, difference, project, fold. Behandelt Dictionaries als Mengen/Relationen. Nuetzlich beim Vergleich von Config-Snapshots oder Transformation von Datentabellen.",,,,
struct::map,Tcllib struct Modules / Tcllib struct Module,Tcllib data structure implementing key-value mappings with ordering.,"Tcllib-Datenstruktur, die Schlüssel-Wert-Zuordnungen mit Ordnung implementiert.",,,,
struct::map create,Tcllib struct Modules / Tcllib struct Module,"Create new map instance (e.g., `struct::map create mymap`).",Neue Map-Instanz erstellen (z.B. `struct::map create mymap`).,,,,
struct::matrix,Tcllib struct Modules / Tcllib struct Module,Tcllib two-dimensional array implementation with rows and columns.,Tcllib zweidimensionale Array-Implementierung mit Zeilen und Spalten.,,,,
struct::prioqueue,Tcllib struct Modules / Tcllib struct Module,Tcllib priority queue implementation with ordered elements.,Tcllib Priority-Queue-Implementierung mit geordneten Elementen.,,,,
struct::record,Tcllib struct Modules / Tcllib struct Module,Tcllib module defining record types with named fields (struct-like).,Tcllib-Modul zum Definieren von Record-Typen mit benannten Feldern (struct-ähnlich).,,,,
struct::skiplist,Tcllib struct Modules / Tcllib struct Module,Tcllib skip list data structure for fast sorted data access.,Tcllib Skip-List-Datenstruktur für schnellen sortierten Datenzugriff.,,,,
base64,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module for base64 encoding/decoding (e.g., `base64::encode $data`).",Tcllib-Modul für Base64-Kodierung/Dekodierung (z.B. `base64::encode $data`).,,,,
cmdline,Tcllib-Bibliotheken / Tcllib Libraries,Tcllib module for command-line argument parsing.,Tcllib-Modul zum Parsen von Kommandozeilen-Argumenten.,,,,
csv,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module for parsing and generating CSV files (e.g., `package require csv`).",Tcllib-Modul zum Parsen und Generieren von CSV-Dateien (z.B. `package require csv`).,,,,
csv::join,Tcllib-Bibliotheken / Tcllib Libraries,"Join list of fields into CSV-formatted line (e.g., `csv::join $fields`).",Liste von Feldern in CSV-formatierte Zeile zusammenfügen (z.B. `csv::join $fields`).,,,,
csv::read,Tcllib-Bibliotheken / Tcllib Libraries,"Read CSV file into list of records (e.g., `csv::read $channel`).",CSV-Datei in Liste von Datensätzen einlesen (z.B. `csv::read $channel`).,,,,
csv::split,Tcllib-Bibliotheken / Tcllib Libraries,"Split CSV line into list of fields (e.g., `csv::split $line`).",CSV-Zeile in Liste von Feldern aufteilen (z.B. `csv::split $line`).,,,,
fileutil,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module with file system utilities (cat, grep, find, etc.).","Tcllib-Modul mit Dateisystem-Werkzeugen (cat, grep, find, etc.).",,,,
htmlparse,Tcllib-Bibliotheken / Tcllib Libraries,Tcllib module for parsing HTML documents.,Tcllib-Modul zum Parsen von HTML-Dokumenten.,,,,
http,Tcllib-Bibliotheken / Tcllib Libraries,"Tcl core package for HTTP client operations (e.g., `package require http`).",Tcl-Core-Paket für HTTP-Client-Operationen (z.B. `package require http`).,,,,
http::cleanup,Tcllib-Bibliotheken / Tcllib Libraries,Release resources associated with HTTP token.,"Ressourcen freigeben, die mit HTTP-Token verbunden sind.",,,,
http::code,Tcllib-Bibliotheken / Tcllib Libraries,"Get HTTP status code from token (e.g., `http::code $token` returns ""HTTP/1.1 200 OK"").","HTTP-Statuscode aus Token abrufen (z.B. `http::code $token` gibt ""HTTP/1.1 200 OK"" zurück).",,,,
http::config,Tcllib-Bibliotheken / Tcllib Libraries,"Configure HTTP package defaults (proxy, user-agent, etc.).","HTTP-Paket-Standards konfigurieren (Proxy, User-Agent, etc.).",,,,
http::data,Tcllib-Bibliotheken / Tcllib Libraries,"Extract response body from HTTP token (e.g., `http::data $token`).",Antwort-Body aus HTTP-Token extrahieren (z.B. `http::data $token`).,,,,
http::geturl,Tcllib-Bibliotheken / Tcllib Libraries,"Make HTTP request and return token for response (e.g., `http::geturl ""http://example.com""`).","HTTP-Anfrage stellen und Token für Antwort zurückgeben (z.B. `http::geturl ""http://example.com""`).",,,,
http::status,Tcllib-Bibliotheken / Tcllib Libraries,"Get request status: ok, error, timeout, reset.","Anfrage-Status abrufen: ok, error, timeout, reset.",,,,
json,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module for parsing and generating JSON data (e.g., `package require json`).",Tcllib-Modul zum Parsen und Generieren von JSON-Daten (z.B. `package require json`).,,,,
json::dict2json,Tcllib-Bibliotheken / Tcllib Libraries,"Convert Tcl dictionary to JSON string (e.g., `json::dict2json $dict`).",Tcl-Dictionary in JSON-String konvertieren (z.B. `json::dict2json $dict`).,,,,
json::json2dict,Tcllib-Bibliotheken / Tcllib Libraries,"Parse JSON string into Tcl dictionary (e.g., `json::json2dict $jsonString`).",JSON-String in Tcl-Dictionary parsen (z.B. `json::json2dict $jsonString`).,,,,
json::write,Tcllib-Bibliotheken / Tcllib Libraries,"Create JSON structures programmatically (object, array, string, etc.).","JSON-Strukturen programmatisch erstellen (object, array, string, etc.).",,,,
logger,Tcllib-Bibliotheken / Tcllib Libraries,Tcllib module for flexible logging system with severity levels.,Tcllib-Modul für flexibles Logging-System mit Schweregrad-Stufen.,,,,
